72	mais ançois ot beu de l’eve li uns et li autre, 	'ma inanzi furono amenduni tutti molli, 	79
73	et se li chevals ne fust si buens, 	e se l cavallo non fosse stato si forte, 	80
74	noié fuissent ambedui, 	anegati fossono amenduni, 	81
75	kar li chevaliers estoit pesans por les armes 	ché l cavaliere era pesante per l’arme 	82
76	qu’il avoit vestues. 	ch’elli avea vestite. 	83
77	Quant il fu de l’autre part de l’eve, 	Quand’e fu da l’altra parte dell’acqua, 	84
78	si ne descendi pas, 	si non discende passo, 	85
79	ains cort vers cels 	anzi muove il cavallo inverso di coloro 	86
80	qui la damoisele tenoient et fiert si le premier 	che lla T tenieno |e fiede si il primaio 	87|88
81	qu’il aconsieut 	ch’elli agiugne 	89
82	qu’il li met le glaive par mi le cors, 	che gli mette la lancia per me' il corpo, 	90
83	si l’abat a terre, 	si-llo abatte a terra, 	91
84	et li autre s’enfuient erraument 	e gli altri |se ne fugono tosto 	92|93
85	por ce que desarmé estoient. 	per ciò che disarmati erano. 	94
86	Et la damoisele 	E la damigella, 	95
87	qui delivree se voit 	che si vide dilivera, 	96
88|89	se met a genols devant Boort |et dist: « 	si mette a ginocchia davanti Boordo: 	97
90|91	Ha, |gentils chevaliers, 	Hal, gentile cavaliere, diss’ella, 	98
92	de Dieu soiés vos beneois, 	da Dio siate vo' benedetto 	99
93	quant vos m’avés de mort rescosse, 	quando vo m’avete di morte riscossa, 	100
94	et aorés en soit Diex, 	e adorato ne sia lddio 	101
95	quant il ceste part vos amena, 	quand’elli in queste parti vo menò, 	102
96	kar cist gloton m’euissent ja morte. — 	ché questi guiglioni m’avessono già morta, |se vo' non foste. — 	103|104
97	Damoisele, 	Damigella, 	105
98	fet il, 	disse Boordo, 	106
99|100	por quoi ? — |Sire 	perché? 	107
101|102	fet ele, |jel vos dirai bien, 	-Il vo dirò, diss’ella, bene, 	108
103	mais que vos m’aiés mise a sauveté. — 	ma' che vo' m’abiate messa a salvamento. — 	109
104	Coment ? 	Come, 	110
105	fet il. 	disse elli, 	111
106	Avés vos dont garde ? — 	avete vo' dunque guardia? - 	112
107|108	Certes, |fet ele, 	Certo, sire, diss'ella, 	113
109	ja asseur ne seraî fant 	già sicura non sarò 	114
110	com je sache laiens le seignor del chastel, 	tanto com’io sappia là entro il signore del castello, 	115
111	kar c’est li plus fel chevaliers del monde et li plus traîtres. » 	ché ciò è il più fiero cavaliere del mondo |e I più traditore». 	116|117
112	A ces paroles voient issir I. chevalier del chastel 	A queste parole vidono uscire un cavaliere del castello, 	118
113	et la ou il vit Boort, 	e là ov’egli vide Boordo 	119
114	si li escrie : « 	si-llo isgrida: 	120
115	Laissiés, dans chevaliers, la damoisele 	«Danzi cavaliere, |lasciate la damigella, 	121|122
116	que vos n’enmenrois mie! 	ché vonon la menere mica, 	123
117|118	Par mon chief, |mar le rescosistes!» 	e per mio capo male la riscoteste!». 	124
119	Si li cort 	Si gli corre suso 	125
120	quanqu’il puet le glaive alongié; 	quanto ch’elli puote, |la lancia islungata, 	126|127
121	et Boors retrait son glaîve a lui del cors a celui 	e Boordo il fiede si duramente in suo venire |che llo scudo né llo asbergo no-llo guerentisce 	128|129
122	qu’il avoit ocis; 	che non gli metta per me' il corpo e ferro e fusto, |e que' cade a terra tutto isteso 	130|131
		che più nonn-à mestier di medico. 	132
		E quando que del castello vidono insi lor cavaliere abatuto, 	133
		si ve ne rimandarono immantanente uno altro per quello vendicare, 	134
		che disse a Boordo 	135
		che ssi guardi da- llui, 	136
		ch’elli il disfida, 	137
		ed e' dice 	138
		che disfida lui. 	139
		PAllora trae la lancia del corpo a colui 	140
		ch’elli avea morto, 	141
123	si laisse le cheval corre 	si lascia il cavallo andare 	142
124	et le fiert si tres durement 	e l fiede si duramente 	143
125	qu’il l’abat a terre si estordi 	ch’elli |Il’labatte a terra si stordito 	144|145
126	qu’il n’a pooir de relever, 	che non à podere di sé rilevare, 	146
127	ains gist pasmés, 	anzi giace ispasimato, 	147
128	kar il chai si felenessement 	ché fu caduto si fellonosamente 	148
129	qu’a poi que la canole del col n'avoit brisee. 	che a poco che non si ruppe il collo, 	149
130	Et Boors li vet a cheval par desus le cors 	e Boordo gli va cavalcando per di suso il corpo 	150
131	tant que tot le debrise. 	tanto che di tutto il dibriscia. 	151
132	Et lors est la damoisele si liee 	Allora est la damigella si lieta 	152
133	qu’ele ne puet plus 	ch’ella non può più, 	153
134	et dist a Boort : « 	e disse a Boordo: 	154
135|136	Sire, |nos n’avons mes garde, 	Sire, non no abiamo oggimai guardia, 	155
137	kar je ne cuit 	ch’io non credo mica 	156
138|139	qu’il eust plus de chevaliers çaiens |que cestui; 	ch’egli abbia là entro più cavalieri che questi, 	157
140|141	si vos dirai ore seurement |ce que vos me demandastes n’a encor gaires. — 	si vi dirò ora sicuramente ciò che voi mi domandaste. — 	158
142|143	Dites, |fet il. — 	Dite, diss’elli. — 	159
144|145	Sire, |fet ele, 	laPer fé, diss’ella, 	160
146	entre moi et I. chevalier 	intra me e uno cavaliere 	161
147	qui mes amis estoit chevalchions hui matin par mi cest chastel 	che mio amico era cavalcamo oggi mattinetto per me questo ricetto, 	162
148	et quant li freres a celui 	e quando il fratello di colui 	163
149	que vos avés abatu me vit, 	che voi avete ora abatuto mi vide, 	164
150	si me volt a force prendre, 	si mi volle a forza prendere, 	165
151	kar il m’avoit molt longuement amee; 	ché m’avea lungamente amato; 	166
152	si me prist al frain 	simmi prese al freno 	167
153	et m’en volt mener a force, 	e mi volle menare a forza, 	168
154	mes mes amis se combati a lui 	ma mio amico si combatté tanto a-llui 	169
155	tant qu’il l’ocist. 	che-ll’ucise. 	170
156	Et quant cist 	ME quando questo che voi avete qui ora abatuto 	171
157	que vos veez ci ore vit son frere mort, 	vide suo fratello morto, 	172
158	si fist mon ami prendre a force de vilains et de gens 	si fece mio amico prendere a forza di villani e di genti, 	173
159	et l’ocist en venjance de son frere. 	e l’uccise in vendicanza di suo fratello. 	174
160	Mais de moi, 	Ma di me, 	175
161	por cui Ses freres avoit esté ocis, 	per cui suo fratello avea stato morto, 	176
162	dist il 	diss’elli 	177
163	qu’il se vengeroit sans main metre; si me fist prendre a ces ribaus 	che-ssi vendicherebbe sanza in me mettere mano, |si mi fece prendere a nfino a tre l rubaldi 	178|179
164	que vos veistes 	che vo' vedeste 	180
165	et lor commanda 	e loro comandò 	181
166	qu’il me noiaissent, « 	che m’anegassono, 	182
167	kar par armes, 	ché per mano di persona, 	183
168	dist il, 	diss’elli, 	184
169	ne vueil je mie 	non voglio 	185
170	qu’ele muire » ; 	ch’ella muoia». 	186
171	si m'enmenoient, 	i-mmi menavano, 	187
172	si com vos veistes, morir 	insi come vo vedeste, |per fare morire, 	188|189
173	quant vos me venistes secorre par la volenté de Dieu et par la vostre. 	quando vo mi veniste a soccorrere |per la volontà di Dio e della vostra. 	190|191
174	Or vos ai conté mon errement ; 	Or vo ho contato tutta mia ventura, 	192
175	si voldroie des Ore mes, 	si vo vorre' da oggimai, 	193
176	se vostre plaisirs estoit, 	se vostro piacere fosse, pregare 	194
177	que vos me menissois a salveté en un mien chastel 	che vo' mi conduceste a salvamento in uno mio castello 	195
178	qui est ci pres. — 	ch’è qui presso. — 	196
179	Volentiers », 	Volentier. 	197
180	fet il. 	disse elli». 	198
181	Si le prent par les bras 	Si-lla prende per lo braccio 	199
182	et le monte par devant lui sor le col de son cheval, 	e la monta davanti a sé |sopra il corpo di suo cavallo, 	200|201
183	si a geté son escu derieres son dos, 	si getta suo scudo di dietro suo dosso, 	202
184	si s’en vet cele part 	si se ne va in quelle parti 	203
185	ou la damoisele li enseigne 	ove la damigella gli 'nsegna, 	204
186	tant que ce vint aprés midi 	tanto che ciò venne apresso di mezodi 	205
187	qu’il voient en un tertre I. bel a chastel, 	che vegono davanti loro, in uno poggio, uno castello molto bello. 	206
188	et lors ataignent Il. escuiers 	Allora agiungono due scudieri 	207
189	qui issoient d’un bossel 	che uscivano d’uno boschello 	208
190	et aportoit chescuns venoisons trosee detriers soi. 	e aportavano amenduni cacciagione torsata di dietro a llui. 	209
191	Quant il virent la damoisele, 	E quand’e' vidono la damigella, 	210
192	si descendent a pié 	si discenderono immantanente a ppiè 	211
193	et li font grant joie com a celi 	e gli fanno grande gioia come a colei 	212
194	qui lor dame estoit 	che loro dama era, 	213
195	mais molt se merveillent 	ma molto si maravigliarono 	214
196	de ce qu’il la virent plorer: 	di ciò che lla vidono impiagnendo. 	215
197	si li enquierent 	Si-lla inchiesono 	216
198	que ele a. 	ch’ell’avea, 	217
199	Et ele lor dit 	ed ella lor disse 	218
200	comment ses amis avoit esté ocis, « 	come suo amico era stato ucciso, 	219
201	et je meismes euisse esté morte. 	«ed io medesima, diss’ella, |fosse stata morta, 	220|221
202	se ne fust cis frans chevaliers 	se non fosse questo franco cavaliere 	222
203	qui par sa debonaireté me resqueust 	che per sua dibonarità mi riscosse, 	223
204|205	et se mist em peril de mort |por ma vie sauver. » 	si si misse in periglio di morte per mia vita salvare». 	224
206	Et lors conseille a l’un de ses escuierset 	Allor si consiglia con l’uno, 	225
207	cil se destrosse maintenant de sa venoison, 	e quelli iscioglie immantanente sua cacciagione 	226
208	si la baille a son compaignon por porter, 	e la dona a suo compagnone per portarnela, 	227
209	si s’en vet vers le chastel 	si se ne va inverso il castello 	228
210	quanqu’il puet traire del roncin. 	quanto che può trarre del ronzino. 	229
211	Et Boors demande a la damoisele 	eE Boordo domanda alla damigella 	230
212	comment li chastials a non ou ses amis a esté ocis. « 	come il castello à nome |ove suo amico avea stato morto. 	231|232
213	Sire, 	«Sire, 	233
214	fet ele, 	disse ella, 	234
215	il a non Galedon 	egli à nome Badelon, 	235
216	et l’eve par ou vos passastes a non Galede. » 	e l’acqua per dove passaste Galede». 	236
217	Ensi parolent 	aln parlando vanno tanto 	237
218	tant qu’il sont venu jusqu’al chastel, 	che sono venuti insino qua al castello, 	238
219	si le voit Boors bien seant et fort. 	si 'l vide Boordo molto forte e molto ben sedente. 	239
220	Et quant il montent ! le tertre, 	E quand’e' mosntavano il poggio, 	240
221	si voient de laiens issir dames et damoiseles a grant plenté 	si ne vidono uscire dame e damigelle a gran quantità, 	241
222	dont les unes karolent et les autres dancent 	donde l’une ballavano 	242
223	et les autres joent de divers geus; 	e l’altre giucavano di diversi giuochi, 	243
224	si estoient acesmees et vestues richement 	si erano tutte acconce e vestite riccamente; 	244
225	et avec venoient chevaliers jusqu’a X. 	Se con esso loro venieno cavalieri insino a cinque 	245
226	qui molt faisoient grant joie; 	che molto feciono gran gioia 	246
227	et quant il voient Boort, 	quand'e' vidono Boordo. 	247
228	si crient tuit encontre lui: « 	vengono tutti incontro a-llui |e gli dicono: 	248|249
229|230	Bien viengniés, |sire, 	Ben vegniate, sire, 	250
231	qui nostre dame avez delivres de mort 	che nostra dama avete dilivera di morte 	251
232	et rescosse des mains a ses enemis !» 	e riscossa delle mani di suoi animicib. 	252
233|234	Et lors font descendre lor dame |et lui avec : 	VAllora fanno discendere lor dama e lui apresso, 	253
235	si ne vos porroit nus conter la joie 	si non potrebbe mica l’uom contare la trasgran gioia 	254
236	qui li fu fete. 	che gli fu fatta. 	255
237	A tel joie et a tel feste enmainent Boort jusqu’al palés del chastel, 	In tal gioia e in tale festa ne menarono Boordo |insin qua il mastro palagio del castello, 	256|257
238|239	si le font desarmer, |ou il volsist ou non, 	si l fanno disarmare o volesse O non, 	258
240	et il le fist a envis, 	ed elli il fece ad invidia, 	259
241	kar il n’estoit encore mie tens de herbergier. 	ché nonn-era mica ancor tempo d’albergare. 	260
242	Ensi remist Boors laiens, 	Insi rimase Boordo là entro, 	261
243	si li firent grant joie li un et li autre 	si gli feciono molto gran gioia |e l’uno e l’altro. 	262|263
244	Et quant il orent mengié. 	eE quand’egli ebono mangiato a gran festa, 	264
245	a damoisele demande a Boort 	la damigella domandò Boordo 	265
246	comment il avoit non ét 	com'egli avea nome, 	266
247	¡l dist 	ed e' le risponde 	267
248	qu’il avoit non Boors li Essilliés. « 	ch’egli à nome Boordo il Diseritato. 	268
249|250	Et vos, |fet il. damoisele, 	E vo', diss’elli alla damigella, 	269
251	quels est li vostre nons ? — 	com’è vostro nome? — 	270
252	Sire, 	Sire, 	271
253	fet ele. 	diss’ella, 	272
254	je ai non Blevine de Glocedun, 	i' ò nome Blivina di Glocedin, 	273
255	issi a non cist chastials ou nos somes. » 	e nsì à nome questo castello |ove noi siamo». 	274|275
256	A ces paroles 	A queste parole 	276
257	qu’il disoient, 	ch’elli dicieno, 	277
258	es vos I escuier 	ed e' vidono venire uno scudieri 	278
259	qui laiens entre, 	che là entro venia, 	279
260	si s’agenoille devant la damoisele. « 	si s’aginocchia davanti la damigella: 	280
261	Dame, 	«Dama, 	281
262	fet il, 	diss elli, 	282
263	la damoisele de Honguefort vostre cosine vos salue 	mia dama la damigella di Unguelforte, vostra cugina, 	283
264	et vos mande 	vo saluta e vo manda 	284
265	qu’ele vient herbergier o vos. » 	ch’ella viene ad albergare con esso voi». 	285
266	Et quant cele l’entent, 	E quando quella lo ntende, 	286
267	si saut sus si liee et si joiose 	si salta suso si lieta e si gioliolsa 	287
268	que nule plus 	che nulla più, 	288
269	et demande al vaslet 	e domanda al valletto 	289
270	ou ele est. « 	ov'ella est. 	290
271	Dame. 	«Dama, 	291
272	fet il, 	diss’elli, 	292
273	a mains de demie lieue pres de ci. » 	ella est a meza lega presso di qui». 	293
274	Et ele fet maintenant sa sele metre 	Ed ella fa immantanente sua sella mettere 	294
275	et dist 	e disse 	295
276	qu’ele ira encontre li; 	ch’ella andrà incontro a llei, 	296
277	si monte et maine o li. VI. chevaliers 	si monta e mena con lei v. cavalieri, 	297
278	et Illl. en laisse por fere compaignie a Boort ; 	e quatro cavalieri d’agio |lascia in compagnia di Boordo, 	298|299
279	si se part atant de laiens. 	si si parte atanto di là entro. 	300
280|281	Mes Boors |qui les noveles a of̈es de cele de Honguefort 	Ma Boordo, che lle novelle àe avute di quella d’Unguelforte, 	301
282	si ne set que fere, 	non sa che fare, 	302
283	kar se il remaint laiens, 	ché se rimane là entro 	303
284	ne puet estre 	e' non può essere 	304
285	que l’en nel conoisse 	ch’ella non lo cognosca: 	305
286	et ce ne voldroit il por rien: 	ciò non vorebbe elli per nulla cosa, 	306
287	si pense longuement a ceste chose. 	si pensa lungamente a questa cosa. 	307
288	Quant il ot une piece pensé, 	eQuand’egli à gran peza pensato, 	308
289	si se drece en estant 	si si diriza in istanti 	309
290	et demande ses armes tost et isnel. « 	e domanda sue armi tosto e snello. 	310
291	Sire, font cil 	VaSire, dissono coloro 	311
292	qui avec lui estoient, 	che con esso lui erano, 	312
293	qu’en volés vos fere ? — 	che volete voi fare? — 	313
294	Je me vueil. 	l' mi voglio, 	314
295	fet il, 	diss’elli, 	315
296	un poi aler esbatre jusqu’a cel boschel, 	andare a sbattere un poco in quello boschetto, 	316
297	si revendrai orendroit. » 	si ritornerò oraindiritto». 	317
298	Cil n’osent son commandement refuser. 	E que' non osano suo comandamento rifiutare, 	318
299	si aportent ses armes 	sì gli portano sue armi 	319
300	et il les prent. 	ed e' le prende; 	320
301	Et quant il est armés, 	e quand’egli è armato, 	321
302	si monte en son cheval a, 	e' monta in suo cavallo, 	322
303	si se part de laiens par une posterne par devers le boschel », 	si si parte di là entro per la postierna diverso il boschello, 	323
304	ne ne velt 	né non vuole 	324
305	que nus li face compaignie. 	che nullo gli faccia compagnia. 	325
306	Et quant il est l. poi eslongiés del chastel, 	quand’egli è un poco islungato del castello, 	326
307	si torne a destre vers une forest 	si torna a destra partita per diverso una foresta 	327
308	qu’il voit haute et espesse 	ch’elli vide alta e spessa, 	328
309	et s’en vet al ferir des esperons; 	si vi si mette al fedire delli sproni 	329
310|311	si se fiert en la forest |et eirre 	e si fiede nello spesso della foresta 	330
312	tant qu’il li anuite ; 	e va tanto ch’elli anottò. 	331
313	et lors escote, 	AIlora ascolta, 	332
314	si ot une cloche soner 	sì ode una campana sonare 	333
315	et il sot bien tantost 	ed e'sa ben tantosto 	334
316	que c’estoit hermitages: 	che ciò è romitaggio: 	335
317	si s’en torne cele part 	si ritorna in quelle parti 	336
318	et descent a l’uis, 	e discende a l’uscio, 	337
319|320	si apele et li hermites li oevre son huis, |si a le reçoit a bele chiere 	si chiama e l romito gli apre l’uscelletto, si-llo riceve a bella cera 	338
321	et le desarme il meismes, 	e l disarmò elli medesimo; 	339
322	puis vet cueillir de l’erbe al cheval 	poscia va a cogliere dell’erba al cavallo lel 	340
323	et por fere lit al chevalier. 	per fare el letto del cavaliere. 	341
324	Ensi est Boors remés chiés l’ermite, 	ilnsi rimase Boordo a casa il romito, 	342
325	et la damoisele de Glocedun chevalcha 	e la damigella di Locidin cavalca tanto 	343
326	tant a qu’ele encontra cele de Honguefort; 	ch’ella fu partita di suo castello |ch’ella trovò quella d’Unguelforte. 	344|345
327	si s’entresaluent, 	Si si trasalutano, 	346
328	mais molt se merveille cele de Glocedun, 	ma molto si maraviglia quella di Glocedin 	347
329	quant ele voit sa cosine si atornee et tote sa maisnie: 	quand’ella vide sua cugina |si aconcia e tutta sua masnada, 	348|349
330	si li demande l’acheison 	si non si può tenere |ch’ella non la domandi la cagione. 	350|351
331	et cele li conte de chief en chief 	E quella le conta di capo in capo 	352
332	et dist 	e dice 	353
333	que jamés ne finera d’errer 	che giamai non finirà d’andare infino a tanto 	354
334|335	jusqu’el ait le chevalier trové, « |et bien sachiés, 	ch’ella abbia il cavaliere trovato, 	355
336|337	fet ele, |bele cosine, 	e ben sapiate, bella cugina, 	356
338	que c’est li plus bials chevaliers et li mieldres 	che ciò è il più bel cavaliere |e l miglior 	357|358
339	que je onques mes veisse, 	ch’io unque vedessi, 	359
340	et si est encore jovenes enfés; 	si è ancora giovane infante; 	360
341|342	si ai tel duel, |quant il me membre de la vilenie 	sì ò tal duolo qualunche ora mi ricordo della villania 	361
343	que je fis, 	ch’io gli feci, 	362
344	qu’a poi que li cuers ne me part el ventre. — 	ch’a poco che l cuore non mi si sface nel ventre. — 	363
345	En non Dieu, bele cosine, 	A nome di Dio, bella cugina, 	364
346	fet cele de Glocedun, 		
347	s’il vos avint bele aventure, 	s’elli voi avenne bella aventura, 	365
348	il ne m’est pas hui avenue mains bele. » 	e' non m’è oggi passo avenuta men bellab. 	366
349	Si li conte tot ensi com il li estoit avenu 	i-lle contò tutto insi come l’era avenuto 	367
350	et dist 	e disse 	368
351	qu’ele a le chevalier herbergié; « 	ch’ella ha albergato il cavaliere, 	369
352	mais bien sachiés, 	«ma ben sapiate 	370
353|354	fet ele, |que c’est li plus bials chevaliers 	ch’egli è el più bel giovane 	371
355	que je onques mes veisse et jovenes durement » ; 	ch’io unque mai vedessi a mi' sciente, si risembra gentile huomo duramente». 	372
356	si li devise sa façon et son grant et sa mesure 	Si-lle divisa sua fazione |e suo grande e sua misura 	373|374
357	tant qu’a cele de Honguefort est avis 	tanto che a quella d’Unquelforte est aviso 	375
358	que c’est cil 	che ciò è quelli 	376
359	qu’ele quiert, 	ch’ella chiede, 	377
360	si li tarde molt 	si'lle tarda molto 	378
361	qu’ele le voie. 	ch’ella il vega. 	379
362	Ensi chevalchent jusqu’al chastel, 	Insi cavalcano tanto |ch’al castello sono venuti, 	380|381
363	si descendent la damoisele molt honorement 	si discendono la damigella molto honoratamente 	382
364	et molt font grant joie de li 	e molto fanno grande gioia di lei. 	383
365	Et lors sont montees el palés; 	Allor sono montate nel palagio, 	384
366	si demande cele de laiens ou ses ostes est. « 	si domanda quella di Glocedin |ove suo oste est: 	385|386
367|368	Par foi, |font si chevalier, 	Per fé, dissono suo' cavalieri, 	387
369	¡l s’en vet orrendroit tos armés fors de cest chastel, 	e' se ne va oraindiritto tutto armato fuori di questo castello, 	388
370	mais il nos dist 	ma e' no disse 	389
371	qu’il revendroit tantost; 	che ritornerebbe tantosto, 	390
372	n’onques por nul pooir ne volt soffrir 	né unque per preghieri non volle soferire 	391
373	que nus de nos alast avec lui. — 	che nullo di noi andasse con esso lui. 	392
374	Quel part s’en ala il ? 	—elln quale parte se ne va?, 	393
375	fet ele. — 	diss’ella. — 	394
376	Dame, 	Dama, dicono elli, 	395
377	font il, vers cel boschel. — 	inverso quello bosco. — 	396
378|379	Or tost, |fet ele, 	Or tosto, diss’ella, 	397
380	montés, alés aprés lui, 	montate e andate apresso lui, 	398
381	si le nos ramenés. » 	si l noi rimenate» ll 	399
382	Lors sont monté li X. chevalier 	Allora sono montati tutti e dieci i cavalieri 	400
383	et vienent jusqu’al boschel, 	e vengono Sin qua quel bosco, 	401
384	si le cerchent amont et aval, 	si 'l cercano a monte e a valle, 	402
385	mes del chevalier ne pueent riens trover, 	ma del cavaliere non possono elli unque trovare. 	403
386	si en sont molt irié et dolent 	eSi ne sono molto adirati e molto crucciati, 	404
387	et mandent a lor dame 	e mandano a-llor dama 	405
388	qu’il ne le pueent trover. « 	che nol possono trovare. 	406
389	En non Dieu, 	“h«A nome di Dio, 	407
390	fet ele, 	diss’ella, 	408
391	ensi ne remandra il pas. » 	insì non rimarrà e' passo». 	409
392	Si monte et tote sa maisnie 	Si monta ella e tutta sua masnada, si vi viene 	410
393	et commande a cerchier le bois de totes pars 	e comanda a cercare il bosco di tutte parti. 	411
394	et il en font son commandement. 	sEd e fanno suo comandamento, 	412
395	Mais tot ce ne lor valt riens, 	ma tutto ciò no lle vale nulla, 	413
396	kar il n'em puent avoir nul asenement a, 	ch’elli non ne possono ora avere nullo asennamento del mondo. 	414
397	Quant ele vit ce, 	eE quand’ella vide ciò, 	415
398	si s’en retorne en son chastel dolente et corociee 	si se ne torna in suo castello dolente e crucciata, 	416
399	et conte a cele de Honguefort 	e conta a quella d’Unguelforte 	417
400	comment ses ostes s’en estoit alez, 	come suo oste |se n’è andato. 	418|419
401	puis demande a cels de laiens: « 	Poscia domanda a que di là entro: 	420
402	Bials seignors, 	Be' signori, 	421
403	quant s’em parti il — 	e quando se ne parti 	422
404|405	Par foi, |dame, 	elli?-Per fé, dama, 	423
406	font il, 	dicono elli, 	424
407	si tost com il vos en vit aler 	si tosto come ve ne vide andare, 	425
408	et dist 	e disse 	426
409	qu’il revendroit tost. — 	che riverebbe tosto. — 	427
410|411	Par foi, |fet ele, 	Per fé, diss’ella, 	428
412	gabez nos a. » 	il vorre giàb. 	429
413	Lors demanda cele de Honguefort 	sAllor domanda quella d'Unguelforte 	430
414	quels armes il portoit 	che arme elli portava, 	431
415	et ele li devise. « 	e la damigella gliel divisa. 	432
416	En non Dieu, 	“Al nome di Dio, 	433
417	fet ele, 	diss’ella, 	434
