196	Et quant il furent monte le tertre. 	E quand’e' mosntavano il poggio, 	240
197	si voient issir dames et damoiseles a grant plente 	si ne vidono uscire dame e damigelle a gran quantità, 	241
198|199	dont lez vnes dansoient et lez autres karoloient |et baloient 	donde l’une ballavano 	242
200	et gieuent de diuers ius. 	e l’altre giucavano di diversi giuochi, 	243
201	Si estoient toutes vestues trop richement. 	si erano tutte acconce e vestite riccamente; 	244
202	Et auec elles venoient cheualier iussPtis elques a. X. 	Se con esso loro venieno cavalieri insino a cinque 	245
203	qui menoient la plus grant ioie. 	che molto feciono gran gioia 	246
204	et dient a bohort. 	quand'e' vidono Boordo. 	247
205	Sire bien veignies vous soi tous lez hommes del monde. 	vengono tutti incontro a-llui |e gli dicono: 	248|249
206	qui nostre dame aues rescousse de mort. 	Ben vegniate, sire, |che nostra dama avete dilivera di morte 	250|251
207	et deliuree des mains a sez anemis. 	e riscossa delle mani di suoi animicib. 	252
208|209	Et lors font descendre la damoisele |et lui auekes 	VAllora fanno discendere lor dama e lui apresso, 	253
210	si ne porroit nus conter la grant ioie 	si non potrebbe mica l’uom contare la trasgran gioia 	254
211	qui li fu faite EN tele ioie et en tele feste 	che gli fu fatta. |In tal gioia e in tale festa ne menarono Boordo 	255|256
212	com vous oliles enmenerent bohort en vne moult bele sale. 	insin qua il mastro palagio del castello, |si l fanno disarmare o volesse O non, 	257|258
213	et les tables furent mises 	ed elli il fece ad invidia, |ché nonn-era mica ancor tempo d’albergare. 	259|260
214	si alerent mangier. 	Insi rimase Boordo là entro, |si gli feciono molto gran gioia 	261|262
215	Et quant il orent mangie. 	e l’uno e l’altro. |eE quand’egli ebono mangiato a gran festa, 	263|264
216	La damoisele demanda bohort 	la damigella domandò Boordo 	265
217	comment il auoit non. 	com'egli avea nome, 	266
218	Et il li dist 	ed e' le risponde 	267
219	quil auoit non bohors li escillies. 	ch’egli à nome Boordo il Diseritato. 	268
220	Et vous dame fait il 	E vo', diss’elli alla damigella, 	269
221	comment est vostres nons. 	com’è vostro nome? — |Sire, 	270|271
222	Sire fait elle iou ai a non benigne de Glochedon. 	diss’ella, |i' ò nome Blivina di Glocedin, 	272|273
223	Et ensi a a non chis chastiaus. 	e nsì à nome questo castello |ove noi siamo». 	274|275
224	A ches paroles 	A queste parole 	276
225	quil disoient es vous vn escuier 	ch’elli dicieno, |ed e' vidono venire uno scudieri 	277|278
226	qui laiens entra. 	che là entro venia, 	279
227	si sagenoille deuant la damoisele 	si s’aginocchia davanti la damigella: |«Dama, 	280|281
228	et l dist. 	diss elli, 	282
229|230	Dame : |la dame de hongrefort vous salue. 	mia dama la damigella di Unguelforte, vostra cugina, 	283
231	et vous mande 	vo saluta e vo manda 	284
232	que elle veult anuit herbergier o vous. 	ch’ella viene ad albergare con esso voi». 	285
233	Et quant cele lentent si saut sus. si ioieuse 	E quando quella lo ntende, |si salta suso si lieta e si gioliolsa 	286|287
234	et si lie que nulle plus. 	che nulla più, 	288
235	Si demande a lescuier 	e domanda al valletto 	289
236	ou elle est. 	ov'ella est. 	290
		«Dama, 	291
237	Dame ce dist cil a demie lieue pres de chi. 	diss’elli, |ella est a meza lega presso di qui». 	292|293
238	Lors fait maintenant sa sele mettre 	Ed ella fa immantanente sua sella mettere 	294
239	et dist 	e disse 	295
240	que elle yra encontre li. 	ch’ella andrà incontro a llei, 	296
241	Si monte maintenant et vi. cheualier aueques li. et. iiij. escuiers. 	si monta e mena con lei v. cavalieri, |e quatro cavalieri d’agio 	297|298
242|243	Et si laisse auec bohort. iiij. cheualiers |por lui faire compaignie 	lascia in compagnia di Boordo, 	299
244	et puis sen ist de laiens. 	si si parte atanto di là entro. 	300
245|246	Et bohors |qui lez noueles ot entendues de la dame de hongrefort, 	Ma Boordo, che lle novelle àe avute di quella d’Unguelforte, 	301
247	ne set que faire quar bien set 	non sa che fare, |ché se rimane là entro 	302|303
248	que elle le connistra. 	e' non può essere |ch’ella non lo cognosca: 	304|305
249	Et chou ne voldroit il pas. 	ciò non vorebbe elli per nulla cosa, 	306
250	si pense a cheste chose moult longement. 	si pensa lungamente a questa cosa. 	307
251	Et quant il ot pense 	eQuand’egli à gran peza pensato, 	308
252	si se lieue en son estant 	si si diriza in istanti 	309
253	si demande sez armes. 	e domanda sue armi tosto e snello. 	310
254	Sire font cil 	VaSire, dissono coloro 	311
255	qui aueques lui estoient 	che con esso lui erano, 	312
256	pourcoi vous voles vous armer. 	che volete voi fare? — |l' mi voglio, 	313|314
257	Iou me voel fait il aler esbatre iusken cel bosket. 	diss’elli, |andare a sbattere un poco in quello boschetto, 	315|316
258	si reuendrai maintenant. 	si ritornerò oraindiritto». 	317
259	Et cil nosent son commandement refuser. 	E que' non osano suo comandamento rifiutare, 	318
260	Si li aportent sez armes. 	sì gli portano sue armi 	319
261	Et il sen arme. 	ed e' le prende; |e quand’egli è armato, 	320|321
262	puis monte sor son cheua 	e' monta in suo cavallo, 	322
263	et se part de laiens 	si si parte di là entro per la postierna diverso il boschello, 	323
264	et ne veult 	né non vuole 	324
265	que nus li face compaignie 	che nullo gli faccia compagnia. 	325
266	Et quant il est vn petit eslongies 	quand’egli è un poco islungato del castello, 	326
267	si sen torne vers vne haute forest. 	si torna a destra partita per diverso una foresta 	327
268	quil vit haute et espesse 	ch’elli vide alta e spessa, 	328
269	et sen vait au ferir des esperons 	si vi si mette al fedire delli sproni 	329
270	et se fiert en la forest 	e si fiede nello spesso della foresta 	330
271	tant quil si anuite. 	e va tanto ch’elli anottò. 	331
272	Lors oy vne cloche sonner. 	AIlora ascolta, |sì ode una campana sonare 	332|333
273	et sot bien tantost 	ed e'sa ben tantosto 	334
274	que ce estoit vns hermitages. 	che ciò è romitaggio: 	335
275	si torne cele part. 	si ritorna in quelle parti 	336
276	et descent a luis et apele. 	e discende a l’uscio, 	337
277	Et hermites le rechoit a bele chiere. 	si chiama e l romito gli apre l’uscelletto, si-llo riceve a bella cera 	338
278	et le desarme il meismes. 	e l disarmò elli medesimo; 	339
279	et puis vait coillir de lerbe pour le cheual 	poscia va a cogliere dell’erba al cavallo lel 	340
280	et fait le lit au cheualier, 	per fare el letto del cavaliere. 	341
281	Nsi est remes bohoors chies le prodomme. 	ilnsi rimase Boordo a casa il romito, 	342
282	Et la damoisele de Glochedon tcheualche 	e la damigella di Locidin cavalca tanto 	343
283	tant que elle encontre cele de hongrefort. 	ch’ella fu partita di suo castello |ch’ella trovò quella d’Unguelforte. 	344|345
284	si sentrefont moult grant ioie. 	Si si trasalutano, 	346
285	Si sesmerueille moult cele de glochedon. 	ma molto si maraviglia quella di Glocedin 	347
286	quant elle voit sa cousine ensi atornee et toute sa maisnie. 	quand’ella vide sua cugina |si aconcia e tutta sua masnada, 	348|349
287	Si li demande locoison. 	si non si può tenere |ch’ella non la domandi la cagione. 	350|351
288	Et elle li conte lauenture de chief en chief 	E quella le conta di capo in capo 	352
289	Et dist 	e dice 	353
290	que iamais ne finera desrer. 	che giamai non finirà d’andare infino a tanto 	354
291	deuant que elle aura troue le cheualier. 	ch’ella abbia il cavaliere trovato, |e ben sapiate, bella cugina, 	355|356
292	Car cest li plus biaus et li mieudres 	che ciò è il più bel cavaliere |e l miglior 	357|358
293	que iou onques veisse. 	ch’io unque vedessi, 	359
294	et si est iouenes enfes 	si è ancora giovane infante; 	360
295|296	Si ai tel doel |quant il me membre de la vilonnie 	sì ò tal duolo qualunche ora mi ricordo della villania 	361
297	que iou li fis 	ch’io gli feci, 	362
298	que a poi que li cuers ne me part del uentre. 	ch’a poco che l cuore non mi si sface nel ventre. — 	363
299	Enon dieu bele cousine fait cele de glochedon 	A nome di Dio, bella cugina, 	364
300	sil vous est auenue bele auenture 	s’elli voi avenne bella aventura, 	365
301	elle ne mest mie auenue mains bele. 	e' non m’è oggi passo avenuta men bellab. 	366
302|303	Si li conte |comment il li estoit auenu. 	i-lle contò tutto insi come l’era avenuto 	367
304	Et li dist 	e disse 	368
305	que elle auoit le cheualier herbergie 	ch’ella ha albergato il cavaliere, 	369
306	mais bien sachies 	«ma ben sapiate 	370
307	que cest li plus biaus cheualiers del monde. 	ch’egli è el più bel giovane 	371
308	et iouenes est il durement. 	ch’io unque mai vedessi a mi' sciente, si risembra gentile huomo duramente». 	372
309	Si li deuise sa fachon et son grant. 	Si-lle divisa sua fazione |e suo grande e sua misura 	373|374
310	Tant que a celer de hongrefort samble 	tanto che a quella d’Unquelforte est aviso 	375
311	que che soit cils 	che ciò è quelli 	376
312	que elle quiert. 	ch’ella chiede, 	377
313	Si li est moult tart que elle le voie. 	si'lle tarda molto |ch’ella il vega. 	378|379
314	Si cheuauchent 	Insi cavalcano tanto 	380
315	tant que elles sont uenues au castel 	ch’al castello sono venuti, |si discendono la damigella molto honoratamente 	381|382
316	et puis montent el palais. 	e molto fanno grande gioia di lei. |Allor sono montate nel palagio, 	383|384
317	Si denande la damoisele de laiens ou sez ostes estoit. 	si domanda quella di Glocedin |ove suo oste est: 	385|386
318	Par foy dame font li cheualier de laiens 	Per fé, dissono suo' cavalieri, 	387
319	il sen va orendroit tous armes hors de chest chastel. 	e' se ne va oraindiritto tutto armato fuori di questo castello, 	388
320	mais il nous dist 	ma e' no disse 	389
321	quil reuendroit tantost. 	che ritornerebbe tantosto, 	390
322	ne onques pour nul pooir ne volt soffrir 	né unque per preghieri non volle soferire 	391
323	que nus alast aueques lui. 	che nullo di noi andasse con esso lui. 	392
324	Et quel part ala il fait elle. 	—elln quale parte se ne va?, |diss’ella. — 	393|394
325	Dame font il vers chest bosket. 	Dama, dicono elli, |inverso quello bosco. — 	395|396
326	Or tost fait elle montes 	Or tosto, diss’ella, 	397
327	si ales apres lui 	montate e andate apresso lui, 	398
328	si le me amenes arriere. 	si l noi rimenate» ll 	399
329	LOrs sont monte tout li cheualier 	Allora sono montati tutti e dieci i cavalieri 	400
330	et sont uenu au boskel 	e vengono Sin qua quel bosco, 	401
331	et cerkent amont aual 	si 'l cercano a monte e a valle, 	402
332|333	mais le cheualier |quil quierent ne poent trouuer. 	ma del cavaliere non possono elli unque trovare. 	403
334	Lors reuienent a lor dame 	eSi ne sono molto adirati e molto crucciati, 	404
335	et li dient 	e mandano a-llor dama 	405
336|337	que il ne seuent |quil est deuenus. 	che nol possono trovare. 	406
338	Enon dieu fait elle 	“h«A nome di Dio, |diss’ella, 	407|408
339	ensi ne remandra il mie 	insì non rimarrà e' passo». 	409
340	Si monte et toute sa maisnie aueques li. 	Si monta ella e tutta sua masnada, si vi viene 	410
341	si com menchent a cerkier le bois de toutes pars 	e comanda a cercare il bosco di tutte parti. |sEd e fanno suo comandamento, 	411|412
342	mais che ne lor valut riens 	ma tutto ciò no lle vale nulla, 	413
343	Car il nen pueent oir nulles enseignes vraies. 	ch’elli non ne possono ora avere nullo asennamento del mondo. 	414
344	Et quant la damoisele voit chou. 	eE quand’ella vide ciò, 	415
345	si sen retorne a son castel dolante et corouchie. 	si se ne torna in suo castello dolente e crucciata, 	416
346	et conte a cele de hongrefort 	e conta a quella d’Unguelforte 	417
347	comment sez ostes sen estoit partis de laiens 	come suo oste |se n’è andato. 	418|419
348	Puis demande a chiaus de laiens. 	Poscia domanda a que di là entro: 	420
349	Biau seignor 	Be' signori, 	421
350	et quant se parti il de chaiens. 	e quando se ne parti 	422
351	Dame ce dient cil 	elli?-Per fé, dama, 	423
352	si tost comme se il vous en vit aler. 	dicono elli, |si tosto come ve ne vide andare, 	424|425
353	et dist 	e disse 	426
354	quil reuenroit tantost. 	che riverebbe tosto. — 	427
355	par foy fait elle gabe nous a . 	Per fé, diss’ella, |il vorre giàb. 	428|429
356	ors demande cele de hongrefort 	sAllor domanda quella d'Unguelforte 	430
357	queles armes il portoit. 	che arme elli portava, 	431
358	Et elle li deuise 	e la damigella gliel divisa. |“Al nome di Dio, 	432|433
359	Enon dieu fait elle iou le trouuai hui matin a lentree dune forest. 	diss’ella, |io il trovai ogi mattino all’entrata d’una foresta, 	434|435
360	mais il ne portoit mie tels armes 	ma e' non porta mica tale scudo come colui 	436
361	comme cils 	ch’io cheggio. 	437
362	que iou quier Bele cousine fait cele as de laiens. 	—eBella cugina, |disse quella di là entro, 	438|439
363	il lez puet bien auoir cangies. 	elli il potrebbe poscia bene avere cambiato, 	440
364	Et iou quit bien a mon escient 	e vo dico al mio credere 	441
365	que che soit cil que vous queres 	che ciò est quelli cu' voi chiedete. 	442
366	Si vous pri 	Si vi priego 	443
367	que vous me laissies aler aueques vous 	che voi mi lasciate con voi andare 	444
368	tant que nous laions trouue. 	tanto che trovato l’abiate, 	445
369	Et lors si nous dira locoison 	allora saprò io la cagione 	446
370	pourcoi il a laissie mon ostel en tel maniere. 	per ch’egli à mio ostello lasciato a tale ora. — 	447
371	Il men est bel fait cele de hongrefort 	E' me n’è molto bello, |disse quella d’Unguelforte, 	448|449
372	que vous y ueignies 	che vo' vegniate, 	450
373	puis quil vous plaist. 	da che vo piace». 	451
