	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
36	si le menoient troi vilain molt vilainement a 	que traian quatro rribaldos muy sañudamente 	si la menoyent quatre nibaux moult uilainement 	si la menoient. iiii.tre ribaus mout uilment. 	sy la menoient quatre ribaulx monlt felonneusement 	si le menoient. iiij. ribaut moult felenessement 	si-lla menavano iiii. rubaldi molto villanamente 
37	et tenoit chescuns une hache en sa main; 	e cadavno traia enla mano vna lança 	et tenoit ch̃un une hache en sa main. 	et tenoit chascuns une hache en sa main. 	et tenoient chascun en sa main ung coustel trenchant. 	et tenoit Cascuns en sa main. i. coutel trenchant. 	e tenieno ciascuno una acciaia in sua mano. 
38|39	et ele crioit |quanque ele pooit crier 	e ella daua vozes |quanto podia dar 	et elle crioit |tant quelle pouoit crier pour ceulx 	et ele crioit |quantque le pooit crier. |por ciax 	Et la damoiselle crioit 	Et elle crioit |quamque elle pooit por chiaus 	Ed ella grida |quanto |ch’ella può gridare 
40	por els qui li faisoient tel honte et tel laidure 	e ellos la lleuaron muy desonrrada mente 	qui luy faisoient tel honte et telle laidure 	qui li fasoient tele honte. |et tel laidure 	tant comme elle pouoit pour la laidure et honte |que telx ribaulx luy faisoient/ 	qui li faisoient tel laidure. 	per coloro |che-lle facieno cotale onta e tal ladiura, 
41	qu’il la venoient batant tot contreval la riviere. 	contra la rribera |porla yr ha echar 	qui la uenoient batant tout contreual la riuiere. 	que il la menoient |batant tout contrtual la riuiere 	et la menoient batant contre ual la riuiere. 	quar il lenmenoient tot contreual la riuiere batant 	ch’elli la menavano |battendo tutto contravalle la riviera. 
42|43	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, |si commence a crier: « 	e quando la donçella vio a bores |dela otra parte del agua |començo a dar vozes 	Et quant la damoisele uoit le cheualier de lautre part de leaue 	t quant la damoisele uoit le cheualier dautre part la riuiere. |si li comance a crier. ha: 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ |uiere commenca a crier et dire en tell maniere 	Et quant elle vit le cheualier de lautre part de laigue. |si li commenche a crier. 	E quando la damigella vide lo cavaliere dall’altra parte dell’acqua, |si gli comincia a gridare: 
44|45	Ha, gentilz chevaliers, |secorés ceste damoisele 	e a deçir ay jentil cauallero acorred a esta donçella 	si luy commence a crier haa gentili cheualier secourez ceste damoisele 	gentis cheualiers secores ceste damoisele 	Haa beau et gentil cheualier secoures ceste damoiselle 	Ha : gentils homs quar secoures ceste damoisele 	Hal, gentile huomo, |soccorete questa damigella 
46|47|48	que cist ribaut vuelent ocirre. |Ha, frans hom, |ne m’i laissiés morir, 	que estos Ribaldos me quieren |ansi matar ay buen cauallero |si nunca oviste piedad de donçella |auelda agora de mi |e no me dexedes asi morir	que ces ribaux ueulent occire. |Haa franc homme ne me lessez mourir 	que ciz ribaut wellet ocire. ha; |frans hons ne mi laissiez morir 	que ces ribaulx ueullent occire/ haa franc homme |fait elle me lesres uous ainsi mourir entre les mains de telx paillars. 	que cist ribaut voelent ochirre. |Pour dieu ne mi laissies ore mie morir. 	che questi rubaldi vogliono uccidere! |Hal, franco cavaliere, non mi lasciate uccidere, 
49|50	se vos onques eustes pitié de nule gentil damoisele !» |Quant Boors ot ce 	Quando boores oyo 	si uous eustes onc pitie de nulle gentilz damoisele. |quant boort ouy celle 	se uos eutes onques pitie de franche damosele. |quant boh̾. oit cele 	et se uous pitie de moy |car se uous ne me secoures ie suys a la mort liurer. |Et quant boort ouyt 	se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame |Quant bohors oy 	se voi unque aveste piatà |di nulla gentile damigella». |“Quando Boordo ode colei 
51|52|53	qu’ele li prie si pitousement |qu'il la secore, |si ne set que fere, 	lo que la donçella deçia |no supo que façer 	qui le prie si piteusement |quil la sequeure il ne scait que faire 	que si piteusement lapele |et li prie |quil la sekeure. |Sire set que faire. 	quelle le prioit si piteusement |si ne scait que faire 	que la damoisele li prioit si piteusement de li secorre |si One sot 	che l priega si piatosamente |che-lla soccorra, |si non sa che fare, 
54|55	kar volentiers li aidast |s’il peust; 	ca muy de grado la quisiera acorrer |si pudiese 	car uoulentiers luy alast aider sil peust 	car uolentiers li alait aidier |se il poist. 	car uoulentiers luy allast aider |se il peult estre/ 	que faire quar volentiers li alast aidier sil peust estre 	ché volentieri l’andasse ad atare se potesse, 
56|57	mais il voit l’eve noire |et parfonde et si perilluse 	Mas el agua hera muy fonda e peligrosa e negra 	mais il uoit leaue parfonde noire et perilleuse 	Mais il uoit leue si parfonde et si perilleuse 	mes il uoit la riuiere parfonde et dangereuse a passer. 	mais il voit laigue parfonde et perillouse et noire. 	ma e vede l’acqua nera e profonda e perigliosa 
58|59	qu’il cuide bien noier, |s’il se met dedens; 	e bien cuidaua morir |si se y Metiese 	que il cuide bien mourir sil si mect dedans. 	que il cuide bien perir |se il se met dedans. 	et scait bien sil entre dedens |qu il se met en peril de mort. 	si quide bien morir |se il si met 	che crede bene morire |s’elli si mette di dentro; 
60	et d'autre part il voit cele 	e dela otra parte veya la donçella 	Et dautre part il uoit celle 	et dautre part il uoit cele 	Et daultre part il uoit celle 	Et dautre part voit il cels 	e d’altra parte |e vede colei 
61	qui si durement crie merci; 	que muy afincada mente le pedia merçed 	qui si fort luy crie mercy. 	qui si docemet li prie nc .ci. 	qui si piteusement fui crie mercy. 	qui si piteusement li crie merci. 	che si duramente gli grida mercé, 
62	si l'em prent tels pitiés 	e ovo tal piedad della 	si luy en prent telle pitie 	Si len prent tes pitiez 	Si luy en prent telle pitie 	si len prent tele pities 	si ne gli prende tale piatà 
63	qu’il en laisse totes poors 	que le fiço todo el miedo perder 	quil en laisse toute paour. 	quil en laisse totes paours. 	quil en laisse toute paour 	quil en laisse toute paour 	che ne lascia tutte paure 
64	et fet le signe de la crois en mi son vis, 	e fiço la señal dela cruz sobre si 	si en fait le signe de la croix enmy son uis. 	Si fait le signe de la crois enmi son uis. 	et fait le signe de la croix deuant son uisaige 	et met le signe de la vraie crois en mi son front et en mi son pis. 	e si fa el segno della santa croce |nel miluogo del suo viso, 
65	puis enbrace l’escu 	e enbraço el escudo 	puis embrace lescu 	puis enbrace lescu. 	puys embrache son escu 	puis enbrace son escu 	poscia imbraccia lo scudo 
66	et broche le cheval des esperons 	e firio al cauallo de las espuelas 	et broche le cheual des esperons 	et broche le cheual des esperons 	et fiert son cheual des esperens 	et fiert le cheual des esperons 	e broca il cavallo degli sproni, 
67	et se fiert en l’eve. 	e lanço se en el agua 	et se fiert erraument en leaue. 	et se fiert en leue tot errantment. 	et se lanche dedens leaue tout erraument: 	et se lance en laigue. 	si fiede nell’acqua isnellamente. 
68|69	Et li chevals fu fors, |si commence a noer 	e el cauallo començo de nadar luego 	et le cheual fu fort |si commence a nouer si tost 	Et li cheuaus fu fors si comance a noer 	et le cheual commence a noer si tost 	Et li cheuaus commence a noier: 	El cavallo fu forte, |incominciò a notare 
70	si tost com il ot terre perdue, 	e perdio tierra	quil eut terre perdue 	si tost com il ot terre perdue 	quil eust terre perdue. 	si tost quil a terre perdue. 	si tosto com'elli ebbe terra perduta, 
71|72	si l’enporte d’autre part de la rive a quelque paine, |mais ançois ot beu de l’eve li uns et li autre, 	en tal manera que paso dela otra parte del agua |mas ante beuio el cauallo del agua 	si lemporte de lautre part de ma riue a quelque peine. |mais ancois eut beu de leaue lun et lautre. 	si lenporte dautͤ part la riue a quelque painne. 	et sen passe le cheual iusques de laultre part de leaue |mes ce fust a grant paine |car ains quilz feussent passes beurent de leaue lun et laultre 	si lenporte de lautre part a grant paine |mes aincois ot beu de laigue li vns et li autres. 	si ne l portò d’altra parte della riva a qualche pena, |'ma inanzi furono amenduni tutti molli, 
73|74	et se li chevals ne fust si buens, |noié fuissent ambedui, 	e si el caballo tan bueno |no fuera sin dubda |el moriera enel agua 	et se le cheual ne eust este si bon |ilz fuszent tous deux noyez. 		et se le cheual neust este fort et bon ilz feussent noyes et lun et laultre 	Et se li cheuaus ne fust si boins noie fussent ambedui 	e se l cavallo non fosse stato si forte, |anegati fossono amenduni, 
75	kar li chevaliers estoit pesans por les armes 	e boores porel peso delas armas 	car le cħlr estoit pesant pour les armes 		car le cheualier estoit fort pesant pour les armes 	Car li cheualiers estoit pesans pour lez armes 	ché l cavaliere era pesante per l’arme 
76	qu’il avoit vestues. 	que llebaua 	quil auoit uestues 		quil auoit uestues. 	quil auoit uestues 	ch’elli avea vestite. 
77	Quant il fu de l’autre part de l’eve, 	e desque fue dela otra Parte del agua 	Quant il fu de lautre part de leaue 		Quant il fut de lautre part de leaue 	si en fu moult en peril. . |uant bohors ot passe laigue pour la damoisele secorre 	Quand’e fu da l’altra parte dell’acqua, 
						ainsi que vous poes oir. 	
78|79	si ne descendi pas, |ains cort vers cels 	dexo se correr 	si ne descendy pas. |ains court uers ceulx 	Si ne descendi pas ains cort uers ciax 	si ne descendist oncques ains courust uers ceulx 	si ne descendi mie ains cort sus a chiaus 	si non discende passo, |anzi muove il cavallo inverso di coloro |che lla T tenieno 
80	qui la damoisele tenoient et fiert si le premier 	aquellos que la donçella tenian |e firio al primero 	qui tenoient la damoisele |et fiert si fort le premier 	qui la damoisele renoient 	qui la damoiselle tenoient: |et fiert tellement le premier quil encontre 	qui la damoisele tenoient |si fiert le premier quil encontre si durement 	e fiede si il primaio 
81|82|83	qu’il aconsieut |qu’il li met le glaive par mi le cors, |si l’abat a terre, 	que encontro en tal manera que le metio la lança porel cuerpo |e los otros dos |que aquello vieron 	quil actaint |quil luy mect le glaiue parmy le corps si labat a terre 	que il consieut |quil li met le glaiue parmi le cors |si labat mort aterre. 	qu il lui met le glauie parmy le corps |si labat a terre 	quil li met le glaiue parmi le cors |si labat a la terre. 	ch’elli agiugne |che gli mette la lancia per me' il corpo, |si-llo abatte a terra, 
84|85	et li autre s’enfuient erraument |por ce que desarmé estoient. 	fuyeron luego |por miedo de no ser muertos 	et les autres senfuyent erraument par ce qͥlz estoient desarme. 	et li autre sen fuient porre |qu il estoient desarme. 	et les autres se met tent en fuite. 	Et li autre senfuient pour chou |que desarme estoient. 	e gli altri |se ne fugono tosto |per ciò che disarmati erano. 
86	Et la damoisele 	ca todos estauan desarmados 	Et la damoisle 	et la damaisele 	La damoiselle 	Et la damoisele 	E la damigella, 
87|88|89|90|91|92	qui delivree se voit |se met a genols devant Boort |et dist: « |Ha, |gentils chevaliers, |de Dieu soiés vos beneois, 	e la donçella desque aquello vido finco los ynojos ante boores |e dixo |ay jentil cauallero vendito seades de dios 	qui se uoit deliure |se mect a genoux deuant boort. |Haa gentilz cheualier fait elle. |de dieu soyez uous beneist 	qui deliuree ce uoit |se met a genous deuant boh̾ ha gentis cheualiers |fait ele beneois soiez uos de dieu. 	qui deliuree se sent |se met a genoulx deuant lui |et lui dit. |Haa gentil cheualier de dieu soiez uous benoit: 	qui deliure se uoit. |se met maintenant a genouls deuant bohort |et dist. ha: |gentiex cheualiers de dies oess vous beneois 	che si vide dilivera, |si mette a ginocchia davanti Boordo: |Hal, gentile cavaliere, diss’ella, |da Dio siate vo' benedetto 
93	quant vos m’avés de mort rescosse, 	que asi me librastes de muerte 	dont uous mauez de mort rescousse 	quant uos mauez de mort rescoce. 	car ces gloutens me eussent occiz 	quar vous maues de mort rescousse. 	quando vo m’avete di morte riscossa, 
94|95	et aorés en soit Diex, |quant il ceste part vos amena, 	e bendito sea dios |que aqui vos traxo 	et aoure en soit dieu |dont il uous amena ceste part. 	et aoures soit diex |quant ils amena ceste part. 	se ne feussez uous. 	Et aoures en soit diex |quant il ceste part vous amena. 	e adorato ne sia lddio |quand’elli in queste parti vo menò, 
96|97|98|99|100|101|102	kar cist gloton m’euissent ja morte. — |Damoisele, |fet il, |por quoi ? — |Sire |fet ele, |jel vos dirai bien, 	que estos villanos me hubieran muerto |si por vos no fuera |donçella dixo boores |Por que señor dixo ella |yo vos lo dire 	Car ces gloutons meussent ia occise |se uous ne fussez |Damoisele fait il pour quot. |Sire fait elle ie le uous diray bien. 	Car cil gloton meussent ia morte |ce uos ne fussiez. |Damoisele fait il porcoi. |Sire fait ele ie le uos dirai bien. 	Damoiselle fait il pour quoy. |Sire fait elle ie le uous diray 	Car cist glouton meussent morte |se vous ne fuissies. |Damoisele ce dist bohors |pourcoi vous voloient il mal faire |Sire fait elle iou le vous dirai bien. 	ché questi guiglioni m’avessono già morta, |se vo' non foste. — |Damigella, |disse Boordo, |perché? |-Il vo dirò, diss’ella, bene, 
103|104|105|106	mais que vos m’aiés mise a sauveté. — |Coment ? |fet il. |Avés vos dont garde ? — 	mas ante conuiene |que non aya miedo de ninguno |Donzella dixo boores |de quien auedes miedo 	mais que uous mayez mise a sauuete |Comment fait il auez uous donc garde. 	mais que uos maiez misse a Sauuete. |Coument fait il auez uos dont garde. 	mais que uous me aiez mise a sauuete. |Comment fait il auez uous donc paour. 	mais que vous maies mise a sauuete |Comment fait il aues vous encore paour. 	ma' che vo' m’abiate messa a salvamento. — |Come, |disse elli, |avete vo' dunque guardia? - 
107|108|109|110	Certes, |fet ele, |ja asseur ne seraî fant |com je sache laiens le seignor del chastel, 	señor dixo ella |del señor del castillo 	Certes sire fait elle |ia ne seray asseuree tant que ie sache. 	Certes sire faic ele ia a seur ne sera tant com ie saiche laiens le signeur de cest chastel. 	Sire fait elle ia seure ne seray |tant que ie sache leans le seigneur de ce chasteau/ 	Sire fait elle ia asseuree ne serai |tant que iou y sache le seignor del chastel : 	Certo, sire, diss'ella, |già sicura non sarò |tanto com’io sappia là entro il signore del castello, 
			qui est le seigneur de ce chastel leans 				
111	kar c’est li plus fel chevaliers del monde et li plus traîtres. » 	ca es el mas follon omne |de todo el mundo e mas cruel 	car cest le plus fel cheualier du monde. |Coment boort se combaty pour la damoisele. 	Car cest li plus fel cheualiers dou monde et li plus traites. 	car cest le plus fel cheualier du monde et le plus cruel 	quar cest li plus fel cheualiers del monde |et li plus desloiaus. 	ché ciò è il più fiero cavaliere del mondo |e I più traditore». 
112	A ces paroles voient issir I. chevalier del chastel 	Ellos asi fablando |vieron salir del castillo vn caballero 	A cest parole voyent yssir ung cheualier du chastel 	a ces paroles uoit issir un cheualier del chastel. 	Ces parolles uoient issir ung cheualier du chasteau: 	ches paroles voient. j. cheualier issir du castel. 	A queste parole vidono uscire un cavaliere del castello, 
113	et la ou il vit Boort, 	e quando vido a boores 	et la ou il uoit boors 	et la ou il uoit behort 	et la ou il uoit boort 	Et la ou il voit bohors. 	e là ov’egli vide Boordo 
114|115|116|117|118|119|120	si li escrie : « |Laissiés, dans chevaliers, la damoisele |que vos n’enmenrois mie! |Par mon chief, |mar le rescosistes!» |Si li cort |quanqu’il puet le glaive alongié; 	començo le a dar boçes |e a deçir don cauallero |a dexar vos conuiene la donzella |ca la non lleuaredes |e porla my cabeza |ental Punto la acorristes |e luego se dexaron correr el vno contra el otro 	si luy crie laissez sire cheualier la damoisele |que uous nemmennerrez pas. |par mon chief mal la rescoussistes. |si luy court sus tant comme il puet le glayue esloigne. |Et boort le firrt si fort a son uenir |que lescu ne le haubert ne le garantist |quil ne luy mecte fer |et fust parmy le corps. |Et cil cheit a terre tout estandu 	si li est terre. |Laissiez dans cheualiers la damoisele |que uos nen meneroie et par mon chief mar la rescousites. |Si li acort |quanquil puet le glaiue alongnre. 	il lui escrie. |Cheualier laissez la damoiselle et par mon chief mal la rescouistes. |Boort lentent |si lui court 	si li escrie dans cheualiers laissies ester la damoisele |quar vous ne lenmenrois pas |et par mon chief mar le rescousistes |quar vous le comperres |se iou puis moult chier. |Et quant bohors lentent si point vers lui |quanque il pot del cheual traire le glaiue alongie 	si-llo isgrida: |«Danzi cavaliere, |lasciate la damigella, |ché vonon la menere mica, |e per mio capo male la riscoteste!». |Si gli corre suso |quanto ch’elli puote, |la lancia islungata, 
121|122|123|124	et Boors retrait son glaîve a lui del cors a celui |qu’il avoit ocis; |si laisse le cheval corre |et le fiert si tres durement 	e boores lo firio conla lança |que auia sacado del cuerpo del villano |que auia muerto |en tal manera que dio conel 	car plus na mestier de mire. |Et quant ceulx du chastel uoyent leur cheualier ainsi abatu |si luy en enuoyent incontinant ung autre pour uenger celuy |qui dist a boort |quil se gardast de luy |quil le deffioit. |et il dist |quil le desfie aussi. |Lors trait son glayue du corps a celuy |quil auoit occis. |si luy laisse aller le cheual |et le fier si fort 	et behors retrait son glaiue del cors au ribaut |que il auoit ocis. |Si li laisse le cheual. |et le fiert si durement 	tant qu il peut du cheual traire le glaiue allongnie |et le fiert si durement 	quil auoit trait del cors a celui quil auoit ochis. |Si fiert celui si durement 	e Boordo il fiede si duramente in suo venire |che llo scudo né llo asbergo no-llo guerentisce |che non gli metta per me' il corpo e ferro e fusto, |e que' cade a terra tutto isteso |che più nonn-à mestier di medico. |E quando que del castello vidono insi lor cavaliere abatuto, |si ve ne rimandarono immantanente uno altro per quello vendicare, |che disse a Boordo |che ssi guardi da- llui, |ch’elli il disfida, |ed e' dice |che disfida lui. |PAllora trae la lancia del corpo a colui |ch’elli avea morto, |si lascia il cavallo andare |e l fiede si duramente 
125	qu’il l’abat a terre si estordi 	Porlas ancas del cauallo a tierra asi estordido 	quil labat a terre si estourdy 	quil labat a terre si estordi 	quil labat a terre si estourdy 	quil labat a terre si estordi 	ch’elli |Il’labatte a terra si stordito 
126|127|128|129	qu’il n’a pooir de relever, |ains gist pasmés, |kar il chai si felenessement |qu’a poi que la canole del col n'avoit brisee. 	que non se pudo leuantar |asi estaua amorteçido dela cayda |que las coyunturas del pescuezo tenia quebradas 	quil na pouoir de se releuer. |ains gist pasme |car il fu cheu si felonnessement qua ponu |que la chanole du coul ne luy eftoit brise. 	que cil na pooir de releuer. |Ains fu pasmes. |Car il fu cheus si uilainnement |qua pou quil not la chenole dou col bͥsie. 	qu il na pouoir de soy releuer: |et booit lui ua par dessus le col a cheual 	quil not pooir de lui releuer. |Ains iut illueques tous pasmes |quar il cai si felenessement |que a poi que la canoele del col ne li est brisie. 	che non à podere di sé rilevare, |anzi giace ispasimato, |ché fu caduto si fellonosamente |che a poco che non si ruppe il collo, 
130	Et Boors li vet a cheval par desus le cors 	e boores traxo tantas vezes el cauallo sobre el 	Et boort luy uait a cheual par dessus le corps 	et behors li ua a cheual par desus le cors. 		Et bohors li uait tout a cheual par desus le cors 	e Boordo gli va cavalcando per di suso il corpo 
131	tant que tot le debrise. 	Que todo lo quebranto 	tant que tout le debrise. 	tant que tout le debrisse. 	tant que tout le debrise. 	Si que tout le debrise. 	tanto che di tutto il dibriscia. 
132	Et lors est la damoisele si liee 	e la donçella |que aquello vido fue muy alegre 	et lors est la damoisele si liee 	et lors est la damoisele si lie 	Et boort a tant la damoiselle esiouye 	Et lors est la damoisele si lie 	Allora est la damigella si lieta 
133	qu’ele ne puet plus 	que mas no lo podia ser 	quelle ne puet plus 	que ele ne puet plus. 	que elle ne peut plus: 	que plus ne puet. 	ch’ella non può più, 
134	et dist a Boort : « 	e dixo a boores 	et dist a boort. 	et dit a beh̾. 	et dit a boort. 	Si dist a bohort 	e disse a Boordo: 
135|136	Sire, |nos n’avons mes garde, 	señor agora non auedes aqui 	sire nous nauons mais garde 	Sire fait ele nous nauons 	Sire nous nauons mes garde: 	sire nous nauons hui mes garde. 	Sire, non no abiamo oggimai guardia, 
				mais garde ce cuige. 			
