	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
41|42|43|44	et ele crioit |quanque ele pooit crier |por els |qui li faisoient tel honte et tel laidure 	e ella daua vozes |quanto podia dar |e ellos la lleuaron muy desonrrada mente 	et elle crioit tant quelle pouoit crier |pour ceulx |qui luy faisoient tel honte et telle laidure 	et ele crioit |quantque le pooit crier. |por ciax |qui li fasoient tele honte. et tel laidure 	Et la damoiselle crioit |tant comme elle pouoit pour la laidure et honte |que telx ribaulx luy faisoient/ 	Et elle crioit |quamque elle pooit por chiaus |qui li faisoient tel laidure. 	Ed ella grida quanto |ch’ella può gridare |per coloro che-lle facieno cotale onta e tal ladiura, 
45	qu’il la venoient batant tot contreval la riviere. 	contra la rribera |porla yr ha echar 	qui la uenoient batant tout contreual la riuiere. 	que il la menoient batant tout contrtual la riuiere t 	et la menoient batant contre ual la riuiere. 	quar il lenmenoient tot contreual la riuiere batant 	ch’elli la menavano |battendo tutto contravalle la riviera. 
46|47	Et quant la damoisele vit le chevalier |de l’autre part de ! l’eve, 	e quando la donçella vio a bores dela otra parte del agua 	Et quant la damoisele uoit le cheualier de lautre part de leaue 	quant la damoisele uoit le cheualier dautre part la riuiere. 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ 	Et quant elle vit le cheualier de lautre part de laigue. 	E quando la damigella vide lo cavaliere |dall’altra parte dell’acqua, 
48|49|50|51	si commence a crier: « |Ha, |gentilz chevaliers, |secorés ceste damoisele 	començo a dar vozes |e a deçir ay jentil cauallero acorred a esta donçella 	si luy commence a crier |haa gentili cheualier secourez ceste damoisele 	si li comance a crier. ha: |gentis cheualiers secores ceste damoisele 	uiere commenca a crier |et dire en tell maniere |Haa beau et gentil cheualier secoures ceste damoiselle 	si li commenche a crier. |Ha : |gentils homs quar secoures ceste damoisele 	si gli comincia a gridare: |Hal, gentile huomo, |soccorete questa damigella 
52|53|54|55	que cist ribaut vuelent ocirre. |Ha, |frans hom, |ne m’i laissiés morir, 	que estos Ribaldos me quieren |ansi matar ay buen cauallero 	que ces ribaux ueulent occire. |Haa franc homme ne me lessez mourir 	que ciz ribaut wellet ocire. ha; |frans hons ne mi laissiez morir 	que ces ribaulx ueullent occire/ haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars. |et se uous pitie de moy |car se uous ne me secoures 	que cist ribaut voelent ochirre. |Pour dieu ne mi laissies ore mie morir. 	che questi rubaldi vogliono uccidere! |Hal, franco cavaliere, |non mi lasciate uccidere, 
56	se vos onques eustes pitié de nule gentil damoisele !» 	si nunca oviste piedad de donçella auelda agora de mi 	si uous eustes onc pitie de nulle gentilz damoisele. 	se uos eutes onques pitie de franche damosele. 	ie suys a la mort liurer. 	se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame 	se voi unque aveste piatà di nulla gentile damigella». 
57	Quant Boors ot ce 	e no me dexedes asi morir Quando boores oyo lo 	quant boort ouy celle 	quant boh̾. oit cele 	Et quant boort ouyt 	Quant bohors oy 	“Quando Boordo ode colei 
58|59|60	qu’ele li prie si pitousement |qu'il la secore, |si ne set que fere, 	que la donçella deçia no supo |que façer 	qui le prie si piteusement |quil la sequeure |il ne scait que faire 	que si piteusement lapele |et li prie quil la sekeure. |Sire set que faire. 	quelle le prioit si piteusement |si ne scait que faire 	que la damoisele li prioit si piteusement de li secorre |si One sot 	che l priega si piatosamente |che-lla soccorra, |si non sa che fare, 
61|62	kar volentiers li aidast |s’il peust; 	ca muy de grado la quisiera acorrer |si pudiese 	car uoulentiers luy alast aider sil peust 	car uolentiers li alait aidier |se il poist. 	car uoulentiers luy allast aider |se il peult estre/ 	que faire quar volentiers li alast aidier sil peust estre 	ché volentieri l’andasse ad atare se potesse, 
63	mais il voit l’eve noire et parfonde et si perilluse 	Mas el agua hera muy fonda e peligrosa e negra 	mais il uoit leaue parfonde noire et perilleuse 	Mais il uoit leue si parfonde et si perilleuse 	mes il uoit la riuiere parfonde et dangereuse a passer. 	mais il voit laigue parfonde et perillouse et noire. 	ma e vede l’acqua nera e profonda e perigliosa 
64|65	qu’il cuide bien noier, |s’il se met dedens; 	e bien cuidaua morir |si se y Metiese 	que il cuide bien mourir sil si mect dedans. 	que il cuide bien perir |se il se met dedans. 	et scait bien sil entre dedens |qu il se met en peril de mort. 	si quide bien morir |se il si met 	che crede bene morire |s’elli si mette di dentro; 
66	et d'autre part il voit cele 	e dela otra parte veya la donçella 	Et dautre part il uoit celle 	et dautre part il uoit cele 	Et daultre part il uoit celle 	Et dautre part voit il cels 	e d’altra parte e vede colei 
67	qui si durement crie merci; 	que muy afincada mente le pedia merçed 	qui si fort luy crie mercy. 	qui si docemet li prie nc .ci. 	qui si piteusement fui crie mercy. 	qui si piteusement li crie merci. 	che si duramente gli grida mercé, 
68	si l'em prent tels pitiés 	e ovo tal piedad della 	si luy en prent telle pitie 	Si len prent tes pitiez 	Si luy en prent telle pitie 	si len prent tele pities 	si ne gli prende tale piatà 
69	qu’il en laisse totes poors 	que le fiço todo el miedo perder 	quil en laisse toute paour. 	quil en laisse totes paours. 	quil en laisse toute paour 	quil en laisse toute paour 	che ne lascia tutte paure 
70|71|72	et fet le signe de la crois en mi son vis, |puis enbrace l’escu |et broche le cheval des esperons 	e fiço la señal dela cruz sobre si |e enbraço el escudo |e firio al cauallo de las espuelas 	si en fait le signe de la croix enmy son uis. |puis embrace lescu et broche le cheual des esperons 	Si fait le signe de la crois enmi son uis. |puis enbrace lescu. |et broche le cheual des esperons 	et fait le signe de la croix deuant son uisaige puys embrache son escu |et fiert son cheual des esperens 	et met le signe de la vraie crois en mi son front et en mi son pis. |puis enbrace son escu |et fiert le cheual des esperons 	e si fa el segno della santa croce nel miluogo del suo viso, |poscia imbraccia lo scudo |e broca il cavallo degli sproni, 
73|74|75	et se fiert en l’eve. |Et li chevals fu fors, |si commence a noer 	e lanço se en el agua |e el cauallo començo de nadar |luego 	et se fiert erraument en leaue. |et le cheual fu fort |si commence a nouer 	et se fiert en leue tot errantment. |Et li cheuaus fu fors si comance a noer 	et se lanche dedens leaue tout erraument: |et le cheual commence a noer 	et se lance en laigue. |Et li cheuaus commence a noier: 	si fiede nell’acqua isnellamente. |El cavallo fu forte, |incominciò a notare 
76|77	si tost com il ot terre perdue, |si l’enporte d’autre part de la rive a quelque paine, 	e perdio tierra en tal manera que paso dela otra parte del agua 	si tost quil eut terre perdue |si lemporte de lautre part de ma riue a quelque peine. 	si tost com il ot terre perdue |si lenporte dautͤ part la riue a quelque painne. 	si tost quil eust terre perdue. |et sen passe le cheual |iusques de laultre part de leaue 	si tost quil a terre perdue. |si lenporte de lautre part a grant paine 	si tosto com'elli ebbe terra perduta, |si ne l portò d’altra parte della riva a qualche pena, 
78	mais ançois ot beu de l’eve li uns et li autre, 	mas ante beuio el cauallo del agua 	mais ancois eut beu de leaue lun et lautre. 		mes ce fust a grant paine |car ains quilz feussent passes beurent de leaue lun et laultre 	mes aincois ot beu de laigue li vns et li autres. 	'ma inanzi furono amenduni tutti molli, 
79|80	et se li chevals ne fust si buens, |noié fuissent ambedui, 	e si el caballo tan bueno no fuera |sin dubda el moriera enel agua 	et se le cheual ne eust este |si bon ilz fuszent tous deux noyez. 		et se le cheual neust este fort |et bon ilz feussent noyes et lun et laultre 	Et se li cheuaus ne fust si boins noie fussent ambedui 	e se l cavallo non fosse stato si forte, |anegati fossono amenduni, 
81	kar li chevaliers estoit pesans por les armes 	e boores porel peso delas armas 	car le cħlr estoit pesant pour les armes 		car le cheualier estoit fort pesant pour les armes 	Car li cheualiers estoit pesans pour lez armes 	ché l cavaliere era pesante per l’arme 
82	qu’il avoit vestues. 	que llebaua 	quil auoit uestues 		quil auoit uestues. 	quil auoit uestues 	ch’elli avea vestite. 
83|84|85|86|87|88	Quant il fu de l’autre part de l’eve, |si ne descendi pas, |ains cort vers cels |qui la damoisele tenoient |et fiert si le premier |qu’il aconsieut 	e desque fue dela otra Parte del agua dexo se correr |aquellos que la donçella tenian |e firio al primero |que encontro en tal manera 	Quant il fu de lautre part de leaue |si ne descendy pas. |ains court uers ceulx |qui tenoient la damoisele |et fiert si fort le premier |quil actaint 	Si ne descendi pas ains cort uers ciax |qui la damoisele renoient |que il consieut 	Quant il fut de lautre part de leaue |si ne descendist oncques |ains courust uers ceulx qui la damoiselle tenoient: |et fiert tellement le premier quil encontre 	si en fu moult en peril. . |uant bohors ot passe laigue |pour la damoisele secorre ainsi que vous poes oir. |si ne descendi mie ains cort sus a chiaus |qui la damoisele tenoient |si fiert le premier quil encontre si durement 	Quand’e fu da l’altra parte dell’acqua, |si non discende passo, |anzi muove il cavallo inverso di coloro |che lla T tenieno e fiede si il primaio |ch’elli agiugne 
89|90|91|92	qu’il li met le glaive par mi le cors, |si l’abat a terre, |et li autre s’enfuient erraument |por ce que desarmé estoient. 	que le metio la lança porel cuerpo |e los otros dos |que aquello vieron fuyeron 	quil luy mect le glaiue parmy le corps |si labat a terre et les autres senfuyent erraument par ce qͥlz estoient desarme. 	quil li met le glaiue parmi le cors |si labat mort aterre. |et li autre sen fuient porre |qu il estoient desarme. 	qu il lui met le glauie parmy le corps |si labat a terre |et les autres se met tent en fuite. 	quil li met le glaiue parmi le cors si labat a la terre. |Et li autre senfuient |pour chou |que desarme estoient. 	che gli mette la lancia per me' il corpo, |si-llo abatte a terra, |e gli altri se ne fugono tosto per ciò che disarmati erano. 
93	Et la damoisele 	luego por miedo de no ser muertos 	Et la damoisle 	et la damaisele 	La damoiselle 	Et la damoisele 	E la damigella, 
94|95|96|97|98|99	qui delivree se voit |se met a genols devant Boort |et dist: « |Ha, |gentils chevaliers, |de Dieu soiés vos beneois, 	ca todos estauan desarmados |e la donçella desque aquello vido finco los ynojos ante boores e dixo |ay jentil cauallero vendito seades de dios 	qui se uoit deliure se mect a genoux deuant boort. |Haa gentilz cheualier fait elle. |de dieu soyez uous beneist 	qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele |beneois soiez uos de dieu. 	qui deliuree se sent |se met a genoulx deuant lui |et lui dit. |Haa gentil cheualier de dieu soiez uous benoit: 	qui deliure se uoit. |se met maintenant a genouls deuant bohort |et dist. ha: |gentiex cheualiers de dies oess vous beneois 	che si vide dilivera, |si mette a ginocchia davanti Boordo: |Hal, gentile cavaliere, diss’ella, |da Dio siate vo' 
100|101|102	quant vos m’avés de mort rescosse, |et aorés en soit Diex, |quant il ceste part vos amena, 	que asi me librastes de muerte |e bendito sea dios |que aqui vos traxo 	dont uous mauez de mort rescousse et aoure en soit dieu |dont il uous amena ceste part. 	quant uos mauez de mort rescoce. |et aoures soit diex |quant ils amena ceste part. 	car ces gloutens me eussent occiz |se ne feussez uous. 	quar vous maues de mort rescousse. |Et aoures en soit diex |quant il ceste part vous amena. 	benedetto quando vo m’avete di morte riscossa, |e adorato ne sia lddio |quand’elli in queste parti vo menò, 
103|104|105|106	kar cist gloton m’euissent ja morte. |— |Damoisele, |fet il, 	que estos villanos me hubieran muerto |si por vos no fuera |donçella dixo boores 	Car ces gloutons meussent ia occise se uous ne fussez |Damoisele fait il pour quot. 	Car cil gloton meussent ia morte ce uos ne fussiez. |Damoisele fait il porcoi. 	Damoiselle fait il pour quoy. 	Car cist glouton meussent morte |se vous ne fuissies. |Damoisele ce dist bohors 	ché questi guiglioni m’avessono già morta, |se vo' non foste. |— Damigella, |disse Boordo, 
107|108|109|110	por quoi ? |— |Sire fet ele, |jel vos dirai bien, 	Por que señor dixo ella |yo vos lo dire 	Sire fait elle ie le uous diray bien. 	Sire fait ele |ie le uos dirai bien. 	Sire fait elle ie le uous diray 	pourcoi vous voloient il mal faire |Sire fait elle iou le vous dirai bien. 	perché? |-Il vo dirò, |diss’ella, bene, 
111|112|113	mais que vos m’aiés mise a sauveté. |— |Coment ? 	mas ante conuiene 	mais que uous mayez mise a sauuete 	mais que uos maiez misse a Sauuete. 	mais que uous me aiez mise a sauuete. 	mais que vous maies mise a sauuete 	ma' che vo' m’abiate messa a salvamento. |— Come, 
114|115	fet il. |Avés vos dont garde ? — 	que non aya miedo de ninguno 	Comment fait il auez uous donc garde. 	Coument fait il auez uos dont garde. 	Comment fait il auez uous donc paour. 	Comment fait il aues vous encore paour. 	disse elli, |avete vo' dunque guardia? - 
116|117|118|119	Certes, |fet ele, |ja asseur ne seraî fant |com je sache laiens le seignor del chastel, 	Donzella dixo boores |de quien auedes miedo |señor dixo ella del señor del castillo 	Certes sire fait elle ia ne seray asseuree tant que ie sache. |qui est le seigneur de ce chastel leans 	Certes sire faic ele ia a seur ne sera tant com ie saiche laiens le signeur de cest chastel. 	Sire fait elle ia seure ne seray |tant que ie sache leans le seigneur de ce chasteau/ 	Sire fait elle ia asseuree ne serai tant que iou y sache le seignor del chastel : 	Certo, |sire, diss'ella, |già sicura non sarò tanto |com’io sappia là entro il signore del castello, 
120	kar c’est li plus fel chevaliers del monde et li plus traîtres. » 	ca es el mas follon omne de todo el mundo |e mas cruel 	car cest le plus fel cheualier du monde. |Coment boort se combaty pour la damoisele. 	Car cest li plus fel cheualiers dou monde |et li plus traites. 	car cest le plus fel cheualier du monde et le plus cruel 	quar cest li plus fel cheualiers del monde et li plus desloiaus. 	ché ciò è il più fiero cavaliere del mondo |e I più traditore». 
121	A ces paroles voient issir I. chevalier del chastel 	Ellos asi fablando vieron salir del castillo vn caballero 	A cest parole voyent yssir ung cheualier du chastel 	a ces paroles uoit issir un cheualier del chastel. 	Ces parolles uoient issir ung cheualier du chasteau: 	ches paroles voient. j. |cheualier issir du castel. 	A queste parole vidono uscire un cavaliere del castello, 
122|123|124|125|126	et la ou il vit Boort, |si li escrie : « |Laissiés, |dans chevaliers, |la damoisele 	e quando vido a boores començo le a dar boçes |e a deçir don cauallero |a dexar vos conuiene la donzella 	et la ou il uoit boors |si luy crie laissez sire cheualier la damoisele |que uous nemmennerrez pas. |par mon chief mal la rescoussistes. |si luy court sus tant comme il puet le glayue esloigne. |Et boort le firrt si fort a son uenir 	et la ou il uoit behort |si li est terre. |Laissiez dans cheualiers la damoisele 	et la ou il uoit boort il lui escrie. |Cheualier laissez la damoiselle 	Et la ou il voit bohors. |si li escrie dans |cheualiers laissies ester la damoisele 	e là ov’egli vide Boordo |si-llo isgrida: |«Danzi cavaliere, |lasciate la damigella, 
127|128|129|130	que vos n’enmenrois mie! |Par mon chief, |mar le rescosistes!» |Si li cort 	ca la non lleuaredes |e porla my cabeza |ental Punto la acorristes |e luego se dexaron correr el vno contra el otro 	que lescu ne le haubert ne le garantist |quil ne luy mecte fer |et fust parmy le corps. |Et cil cheit a terre tout estandu |car plus na mestier de mire. |Et quant ceulx du chastel uoyent leur cheualier ainsi abatu |si luy en enuoyent incontinant ung autre |pour uenger celuy 	que uos nen meneroie et par mon chief mar la rescousites. |Si li acort 	et par mon chief mal la rescouistes. 	quar vous ne lenmenrois pas |et par mon chief mar le rescousistes |quar vous le comperres se iou puis moult chier. |Et quant bohors lentent si point vers lui 	ché vonon la menere mica, |e per mio capo male la riscoteste!». |Si gli corre suso quanto ch’elli puote, |la lancia islungata, 
							e Boordo il fiede si duramente in suo 
			qui dist a boort 				
131|132	quanqu’il puet le glaive alongié; |et Boors retrait son glaîve a lui del cors a celui 	e boores lo firio conla lança 	quil se gardast de luy |quil le deffioit. |et il dist |quil le desfie aussi. |Lors trait son glayue du corps a celuy 	quanquil puet le glaiue alongnre. |et behors retrait son glaiue del cors au ribaut 	Boort lentent si lui court 	quanque il pot del cheual traire le glaiue alongie quil auoit trait del cors a celui 	venire che llo scudo né llo asbergo |no-llo guerentisce che non gli metta per me' |il corpo e ferro e fusto, |e que' cade a terra tutto isteso 
							che più nonn-à mestier di medico. 
133|134	qu’il avoit ocis; |si laisse le cheval corre 	que auia sacado del cuerpo del villano 	quil auoit occis. |si luy laisse aller le cheual 	que il auoit ocis. |Si li laisse le cheual. 	tant qu il peut du cheual traire le glaiue allongnie 	quil auoit ochis. 	E quando que del castello vidono insi lor cavaliere abatuto, |si ve ne rimandarono |immantanente uno altro per quello vendicare, |che disse a Boordo |che ssi guardi da- llui, |ch’elli il disfida, |ed e' dice che disfida lui. |PAllora trae la lancia del corpo a colui |ch’elli avea morto, |si lascia il cavallo andare 
135	et le fiert si tres durement 	que auia muerto en tal manera 	et le fier si fort 	et le fiert si durement 	et le fiert si durement 	Si fiert celui si durement 	e l fiede si duramente 
136	qu’il l’abat a terre si estordi 	que dio conel Porlas ancas del cauallo a tierra asi estordido 	quil labat a terre si estourdy 	quil labat a terre si estordi 	quil labat a terre si estourdy 	quil labat a terre si estordi 	ch’elli |Il’labatte a terra si stordito 
137|138|139|140|141|142|143	qu’il n’a pooir de relever, |ains gist pasmés, |kar il chai si felenessement |qu’a poi |que la canole del col n'avoit brisee. |Et Boors li vet a cheval par desus le cors |tant que tot le debrise. 	que non se pudo leuantar |asi estaua amorteçido dela cayda |que las coyunturas del pescuezo tenia quebradas |e boores traxo tantas vezes el cauallo sobre el |Que todo lo quebranto e la donçella 	quil na pouoir de se releuer. |ains gist pasme |car il fu cheu si felonnessement qua ponu |que la chanole du coul ne luy eftoit brise. |Et boort luy uait a cheual par dessus le corps |tant que tout le debrise. 	que cil na pooir de releuer. |Ains fu pasmes. |Car il fu cheus si uilainnement |qua pou quil not la chenole dou col bͥsie. |et behors li ua a cheual par desus le cors. |tant que tout le debrisse. 	qu il na pouoir de soy releuer: |et booit lui ua par dessus le col a cheual |tant que tout le debrise. 	quil not pooir de lui releuer. |Ains iut illueques tous pasmes |quar il cai si felenessement |que a poi que la canoele del col ne li est brisie. |Et bohors li uait tout a cheual par desus le cors |Si que tout le debrise. 	che non à podere di sé rilevare, |anzi giace ispasimato, |ché fu caduto si fellonosamente |che a poco che non si ruppe il collo, |e Boordo gli va cavalcando per di suso il corpo tanto che di tutto il dibriscia. 
144	Et lors est la damoisele si liee 	que aquello vido fue muy alegre 	et lors est la damoisele si liee 	et lors est la damoisele si lie 	Et boort a tant la damoiselle esiouye 	Et lors est la damoisele si lie 	Allora est la damigella si lieta 
145	qu’ele ne puet plus 	que mas no lo podia ser 	quelle ne puet plus 	que ele ne puet plus. 	que elle ne peut plus: 	que plus ne puet. 	ch’ella non può più, 
146	et dist a Boort : « 	e dixo a boores 	et dist a boort. 	et dit a beh̾. 	et dit a boort. 	Si dist a bohort 	e disse a Boordo: 
147|148	Sire, |nos n’avons mes garde, 	señor agora non auedes aqui 	sire nous nauons mais garde 	Sire fait ele nous nauons mais garde ce cuige. 	Sire nous nauons mes garde: 	sire nous nauons hui mes garde. 	Sire, non no abiamo oggimai guardia, 
149|150	kar je ne cuit |qu’il eust plus de chevaliers çaiens que cestui; 	deque vos mas guardar |ca eneste castillo no auia |mas deste cauallero segund cuydo 	car ie cuidoie |quil y eust leans plus de cheualiers |quil ny a 	Car ie ne cuit quil ait mais cheualier laiens plus que cestui. 	car ie ne cuide point |qu il y ait plus de cheualiers leans |que cestui 	Car iou quit quil ni a plus de cheualiers laiens que cestui. 	ch’io non credo mica |ch’egli abbia là entro più cavalieri che questi, 
